T [K],Ideal Gas Heat Capacity [J/(mol*K)],C_P / (N * k_B),State,Reference,,Gas constant R,8.314,[J / (mol * K)],
700,37.47,4.506855906,Ideal Gas,2,,,,,
700,37.52,4.512869858,Ideal Gas,1,,,,,
750,37.88,4.556170315,Ideal Gas,4,,,,,
750,38.065,4.578421939,Ideal Gas,3,,,,,
800,38.45,4.624729372,Ideal Gas,5,,,,,
800,38.49,4.629540534,Ideal Gas,4,,,,,
800,38.68,4.652393553,Ideal Gas,3,,,,,
800,38.7,4.654799134,Ideal Gas,2,,,,,
800,38.76,4.662015877,Ideal Gas,1,,,,,
850,39.11,4.704113543,Ideal Gas,4,,,,,
850,39.31,4.728169353,Ideal Gas,3,,,,,
900,39.58,4.760644696,Ideal Gas,5,,,,,
900,39.735,4.779287948,Ideal Gas,4,,,,,
900,39.94,4.803945153,Ideal Gas,3,,,,,
900,39.96,4.806350734,Ideal Gas,2,,,,,
900,40.04,4.815973057,Ideal Gas,1,,,,,
950,40.37,4.855665143,Ideal Gas,4,,,,,
950,40.575,4.880322348,Ideal Gas,3,,,,,
1000,40.75,4.901371181,Ideal Gas,5,,,,,
1000,41,4.931440943,Ideal Gas,4,,,,,
1000,41.21,4.956699543,Ideal Gas,3,,,,,
1000,41.24,4.960307914,Ideal Gas,2,,,,,
1000,41.34,4.972335819,Ideal Gas,1,,,,,
1050,41.62,5.006013952,Ideal Gas,4,,,,,
1050,41.84,5.032475343,Ideal Gas,3,,,,,
1100,41.92,5.042097667,Ideal Gas,5,,,,,
1100,42.24,5.080586962,Ideal Gas,4,,,,,
1100,42.51,5.113062305,Ideal Gas,2,,,,,
1100,42.61,5.125090209,Ideal Gas,1,,,,,
1150,42.47,5.108251143,Ideal Gas,3,,,,,
1150,42.84,5.15275439,Ideal Gas,4,,,,,
1200,43.05,5.17801299,Ideal Gas,5,,,,,
1200,43.09,5.182824152,Ideal Gas,3,,,,,
1200,43.44,5.224921819,Ideal Gas,4,,,,,
1200,43.74,5.261005533,Ideal Gas,2,,,,,
1200,43.85,5.274236228,Ideal Gas,1,,,,,
1250,43.69,5.25499158,Ideal Gas,3,,,,,
1250,44.02,5.294683666,Ideal Gas,4,,,,,
1300,44.03,5.295886457,Ideal Gas,3,,,,,
1300,44.585,5.362641328,Ideal Gas,4,,,,,
1300,44.93,5.404137599,Ideal Gas,2,,,,,
1300,45.03,5.416165504,Ideal Gas,1,,,,,
1400,45.66,5.491941304,Ideal Gas,4,,,,,
1400,45.965,5.528626413,Ideal Gas,3,,,,,
1400,46.04,5.537647342,Ideal Gas,2,,,,,
1400,46.15,5.550878037,Ideal Gas,1,,,,,
1500,46.66,5.612220351,Ideal Gas,4,,,,,
1500,47,5.653115227,Ideal Gas,3,,,,,
1500,47.09,5.663940342,Ideal Gas,2,,,,,
1500,47.19,5.675968246,Ideal Gas,1,,,,,
1600,47.95,5.767380322,Ideal Gas,3,,,,,
1600,48.07,5.781813808,Ideal Gas,2,,,,,
1700,48.84,5.874428675,Ideal Gas,3,,,,,
1700,48.97,5.890064951,Ideal Gas,2,,,,,
1800,49.655,5.972456098,Ideal Gas,3,,,,,
1800,49.81,5.99109935,Ideal Gas,2,,,,,
1900,50.41,6.063266779,Ideal Gas,3,,,,,
1900,50.59,6.084917007,Ideal Gas,2,,,,,
2000,51.1,6.146259322,Ideal Gas,3,,,,,
2000,51.31,6.171517922,Ideal Gas,2,,,,,
2100,51.73,6.222035121,Ideal Gas,3,,,,,
2200,52.32,6.292999759,Ideal Gas,3,,,,,
2200,52.58,6.324272312,Ideal Gas,2,,,,,
2300,52.86,6.357950445,Ideal Gas,3,,,,,
2400,53.35,6.416887178,Ideal Gas,3,,,,,
2400,53.69,6.457782054,Ideal Gas,2,,,,,
2500,53.81,6.47221554,Ideal Gas,3,,,,,
2600,54.24,6.52393553,Ideal Gas,3,,,,,
2600,54.64,6.572047149,Ideal Gas,2,,,,,
2700,54.63,6.570844359,Ideal Gas,3,,,,,
2800,55,6.615347606,Ideal Gas,3,,,,,
2800,55.48,6.673081549,Ideal Gas,2,,,,,
2900,55.34,6.656242483,Ideal Gas,3,,,,,
3000,55.66,6.694731778,Ideal Gas,3,,,,,
3000,56.23,6.763290835,Ideal Gas,2,,,,,
3200,56.23,6.763290835,Ideal Gas,3,,,,,
3200,56.89,6.842675006,Ideal Gas,2,,,,,
3400,56.74,6.824633149,Ideal Gas,3,,,,,
3400,57.5,6.916045225,Ideal Gas,2,,,,,
3600,57.19,6.87875872,Ideal Gas,3,,,,,
3600,58.06,6.983401491,Ideal Gas,2,,,,,
3800,57.59,6.926870339,Ideal Gas,3,,,,,
3800,58.57,7.044743806,Ideal Gas,2,,,,,
4000,57.94,6.968968006,Ideal Gas,3,,,,,
4000,59.05,7.102477748,Ideal Gas,2,,,,,
4200,58.27,7.008660091,Ideal Gas,3,,,,,
4200,59.51,7.15780611,Ideal Gas,2,,,,,
4400,58.56,7.043541015,Ideal Gas,3,,,,,
4400,59.94,7.209526101,Ideal Gas,2,,,,,
4600,58.83,7.076016358,Ideal Gas,3,,,,,
4600,60.35,7.25884051,Ideal Gas,2,,,,,
4800,59.07,7.104883329,Ideal Gas,3,,,,,
4800,60.75,7.306952129,Ideal Gas,2,,,,,
5000,59.3,7.13254751,Ideal Gas,3,,,,,
5000,61.14,7.353860957,Ideal Gas,2,,,,,
5200,61.52,7.399566995,Ideal Gas,2,,,,,
5400,61.89,7.444070243,Ideal Gas,2,,,,,
5600,62.25,7.4873707,Ideal Gas,2,,,,,
5800,62.61,7.530671157,Ideal Gas,2,,,,,
6000,62.97,7.573971614,Ideal Gas,2,,,,,
